site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,value_unc,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
BAO,2007,8,16,15,23,25,2007-08-16T15:23:25Z,2007.623675,3043-01,1808.44,2.05,40.05,-105.004,1884,1578.7,305.3,C,240563,H4,2007-08-28 16:07:00,.S.
BAO,2007,8,16,18,0,7,2007-08-16T18:00:07Z,2007.623973,3043-02,1847.07,2.05,40.05,-105.004,1884,1578.7,305.3,C,240564,H4,2007-08-28 16:22:00,.S.
BAO,2007,8,16,18,4,27,2007-08-16T18:04:27Z,2007.623981,3043-03,1865.54,2.05,40.05,-105.004,1884,1578.7,305.3,C,240565,H4,2007-08-28 16:37:00,.S.
BAO,2007,8,17,17,59,58,2007-08-17T17:59:58Z,2007.626712,3043-04,1936.84,2.05,40.05,-105.004,1884,1578.7,305.3,C,240566,H4,2007-08-28 16:52:00,.S.
BAO,2007,8,17,18,4,15,2007-08-17T18:04:15Z,2007.62672,3043-05,1929.86,2.05,40.05,-105.004,1884,1578.7,305.3,C,240567,H4,2007-08-28 17:06:00,.S.
BAO,2007,8,18,17,59,56,2007-08-18T17:59:56Z,2007.629452,3043-06,1852.97,2.05,40.05,-105.004,1884,1578.7,305.3,C,240568,H4,2007-08-28 17:21:00,.S.
BAO,2007,8,18,18,4,13,2007-08-18T18:04:13Z,2007.62946,3043-07,1890.4,2.05,40.05,-105.004,1884,1578.7,305.3,C,240569,H4,2007-08-28 17:36:00,.S.
BAO,2007,8,19,17,59,50,2007-08-19T17:59:50Z,2007.632191,3043-08,1835.44,2.05,40.05,-105.004,1884,1578.7,305.3,C,240570,H4,2007-08-28 17:51:00,.S.
BAO,2007,8,19,18,4,6,2007-08-19T18:04:06Z,2007.6322,3043-09,1843.09,2.05,40.05,-105.004,1884,1578.7,305.3,C,240571,H4,2007-08-28 18:06:00,.S.
BAO,2007,8,20,17,59,44,2007-08-20T17:59:44Z,2007.634931,3043-10,1803.56,2.05,40.05,-105.004,1884,1578.7,305.3,C,240572,H4,2007-08-28 18:21:00,.S.
BAO,2007,8,21,17,59,42,2007-08-21T17:59:42Z,2007.637671,3043-11,1835.56,2.05,40.05,-105.004,1884,1578.7,305.3,C,240573,H4,2007-08-28 18:36:00,.S.
