site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,value_unc,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
HPB,2006,4,6,11,55,0,2006-04-06T11:55:00Z,2006.261634,451-99,1890.71,2.05,47.8011,11.0245,990,985,5,G,215902,H4,2006-05-02 9:47:00,...
HPB,2006,4,6,11,55,0,2006-04-06T11:55:00Z,2006.261634,452-99,1890.16,2.05,47.8011,11.0245,990,985,5,G,215903,H4,2006-05-02 10:01:00,...
HPB,2006,4,11,12,14,0,2006-04-11T12:14:00Z,2006.275369,3369-99,1905.3,2.05,47.8011,11.0245,990,985,5,G,215904,H4,2006-05-02 10:15:00,...
HPB,2006,4,11,12,14,0,2006-04-11T12:14:00Z,2006.275369,3370-99,1903.91,2.05,47.8011,11.0245,990,985,5,G,215905,H4,2006-05-02 10:30:00,...
HPB,2006,4,19,11,55,0,2006-04-19T11:55:00Z,2006.297251,2129-99,1911.85,2.05,47.8011,11.0245,990,985,5,G,216807,H4,2006-05-23 14:16:00,...
HPB,2006,4,19,11,55,0,2006-04-19T11:55:00Z,2006.297251,2130-99,1907.95,2.05,47.8011,11.0245,990,985,5,G,216808,H4,2006-05-23 14:30:00,...
HPB,2006,4,24,11,55,0,2006-04-24T11:55:00Z,2006.310949,1823-99,1872.15,2.05,47.8011,11.0245,990,985,5,G,216809,H4,2006-05-23 14:44:00,...
HPB,2006,4,24,11,55,0,2006-04-24T11:55:00Z,2006.310949,1824-99,1873.28,2.05,47.8011,11.0245,990,985,5,G,216810,H4,2006-05-23 14:59:00,...
HPB,2006,5,2,11,55,0,2006-05-02T11:55:00Z,2006.332867,1807-99,1855.87,2.05,47.8011,11.0245,990,985,5,G,217489,H4,2006-06-05 14:04:00,...
HPB,2006,5,2,11,55,0,2006-05-02T11:55:00Z,2006.332867,1808-99,1854.09,2.05,47.8011,11.0245,990,985,5,G,217490,H4,2006-06-05 14:18:00,...
HPB,2006,5,8,11,55,0,2006-05-08T11:55:00Z,2006.349306,3845-99,1890.44,2.05,47.8011,11.0245,990,985,5,G,217313,H4,2006-06-05 13:35:00,...
HPB,2006,5,8,11,55,0,2006-05-08T11:55:00Z,2006.349306,3846-99,1889.88,2.05,47.8011,11.0245,990,985,5,G,217314,H4,2006-06-05 13:50:00,...
HPB,2006,5,15,11,55,0,2006-05-15T11:55:00Z,2006.368484,2929-99,1868.01,2.05,47.8011,11.0245,990,985,5,G,218089,H4,2006-06-26 8:54:00,...
HPB,2006,5,15,11,55,0,2006-05-15T11:55:00Z,2006.368484,2930-99,1867.69,2.05,47.8011,11.0245,990,985,5,G,218090,H4,2006-06-26 9:08:00,...
HPB,2006,5,22,11,55,0,2006-05-22T11:55:00Z,2006.387662,435-99,1822.98,2.05,47.8011,11.0245,990,985,5,G,218091,H4,2006-06-26 9:22:00,...
HPB,2006,5,22,11,55,0,2006-05-22T11:55:00Z,2006.387662,436-99,1822.01,2.05,47.8011,11.0245,990,985,5,G,218092,H4,2006-06-26 9:36:00,...
HPB,2006,5,30,11,55,0,2006-05-30T11:55:00Z,2006.40958,2509-99,1868.54,2.05,47.8011,11.0245,990,985,5,G,218747,H4,2006-07-11 16:50:00,...
HPB,2006,5,30,11,55,0,2006-05-30T11:55:00Z,2006.40958,2510-99,1867.56,2.05,47.8011,11.0245,990,985,5,G,218748,H4,2006-07-11 17:04:00,...
HPB,2006,6,6,11,55,0,2006-06-06T11:55:00Z,2006.428758,189-99,1879.73,2.05,47.8011,11.0245,990,985,5,G,218745,H4,2006-07-12 9:23:00,...
HPB,2006,6,6,11,55,0,2006-06-06T11:55:00Z,2006.428758,190-99,1881.48,2.05,47.8011,11.0245,990,985,5,G,218746,H4,2006-07-12 9:37:00,...
HPB,2006,6,12,11,55,0,2006-06-12T11:55:00Z,2006.445196,4143-99,1886.88,2.05,47.8011,11.0245,990,985,5,G,219487,H4,2006-07-25 16:37:00,...
HPB,2006,6,12,11,55,0,2006-06-12T11:55:00Z,2006.445196,4144-99,1887.33,2.05,47.8011,11.0245,990,985,5,G,219488,H4,2006-07-25 16:51:00,...
HPB,2006,6,20,11,55,0,2006-06-20T11:55:00Z,2006.467114,3191-99,1834.72,2.05,47.8011,11.0245,990,985,5,G,219485,H4,2006-07-25 16:08:00,...
HPB,2006,6,20,11,55,0,2006-06-20T11:55:00Z,2006.467114,3192-99,1838.35,2.05,47.8011,11.0245,990,985,5,G,219486,H4,2006-07-25 16:22:00,...
HPB,2006,7,3,12,0,0,2006-07-03T12:00:00Z,2006.50274,6023-66,1959.35,2.05,47.8011,11.0245,990,985,5,G,220415,H4,2006-08-16 12:49:00,...
HPB,2006,7,3,12,0,0,2006-07-03T12:00:00Z,2006.50274,6024-66,1961.1,2.05,47.8011,11.0245,990,985,5,G,220416,H4,2006-08-16 13:03:00,...
HPB,2006,7,11,11,55,0,2006-07-11T11:55:00Z,2006.524648,4203-99,1892.14,2.05,47.8011,11.0245,990,985,5,G,220413,H4,2006-08-16 11:24:00,...
HPB,2006,7,11,11,55,0,2006-07-11T11:55:00Z,2006.524648,4204-99,1892.46,2.05,47.8011,11.0245,990,985,5,G,220414,H4,2006-08-16 11:38:00,...
HPB,2006,7,17,11,56,0,2006-07-17T11:56:00Z,2006.541088,545-99,1870.08,2.05,47.8011,11.0245,990,985,5,G,220925,H4,2006-08-24 15:39:00,...
HPB,2006,7,24,11,52,0,2006-07-24T11:52:00Z,2006.560259,1355-99,1838.56,2.05,47.8011,11.0245,990,985,5,G,220926,H4,2006-08-24 15:11:00,...
HPB,2006,7,24,11,52,0,2006-07-24T11:52:00Z,2006.560259,1356-99,1838.24,2.05,47.8011,11.0245,990,985,5,G,220927,H4,2006-08-24 15:25:00,...
HPB,2006,7,31,11,55,0,2006-07-31T11:55:00Z,2006.579443,1899-99,1832.4,2.05,47.8011,11.0245,990,985,5,G,221695,H4,2006-09-07 9:56:00,...
HPB,2006,7,31,11,55,0,2006-07-31T11:55:00Z,2006.579443,1900-99,1833.26,2.05,47.8011,11.0245,990,985,5,G,221696,H4,2006-09-07 10:11:00,...
HPB,2006,8,7,11,55,0,2006-08-07T11:55:00Z,2006.598621,4591-99,1896.06,2.05,47.8011,11.0245,990,985,5,G,221693,H4,2006-09-07 10:25:00,...
HPB,2006,8,7,11,55,0,2006-08-07T11:55:00Z,2006.598621,4592-99,1897.23,2.05,47.8011,11.0245,990,985,5,G,221694,H4,2006-09-07 10:39:00,...
HPB,2006,8,16,11,55,0,2006-08-16T11:55:00Z,2006.623278,1677-99,1962.11,2.05,47.8011,11.0245,990,985,5,G,222437,H4,2006-09-25 14:55:00,...
HPB,2006,8,16,11,55,0,2006-08-16T11:55:00Z,2006.623278,1678-99,1962.46,2.05,47.8011,11.0245,990,985,5,G,222438,H4,2006-09-25 15:09:00,...
HPB,2006,8,21,11,55,0,2006-08-21T11:55:00Z,2006.636977,4173-99,1856.47,2.05,47.8011,11.0245,990,985,5,G,222435,H4,2006-09-25 13:30:00,...
HPB,2006,8,21,11,55,0,2006-08-21T11:55:00Z,2006.636977,4174-99,1860.68,2.05,47.8011,11.0245,990,985,5,G,222436,H4,2006-09-25 13:44:00,...
HPB,2006,8,28,11,55,0,2006-08-28T11:55:00Z,2006.656155,1807-99,1858.68,2.05,47.8011,11.0245,990,985,5,G,223446,H4,2006-10-12 11:36:00,...
HPB,2006,8,28,11,55,0,2006-08-28T11:55:00Z,2006.656155,1808-99,1856.67,2.05,47.8011,11.0245,990,985,5,G,223447,H4,2006-10-12 11:50:00,...
HPB,2006,9,4,11,55,0,2006-09-04T11:55:00Z,2006.675333,573-99,1826.91,2.05,47.8011,11.0245,990,985,5,G,223444,H4,2006-10-12 12:05:00,...
HPB,2006,9,4,11,55,0,2006-09-04T11:55:00Z,2006.675333,574-99,1828.97,2.05,47.8011,11.0245,990,985,5,G,223445,H4,2006-10-12 12:19:00,...
HPB,2006,9,11,11,55,0,2006-09-11T11:55:00Z,2006.694511,991-99,1911.32,2.05,47.8011,11.0245,990,985,5,G,223442,H4,2006-10-12 10:31:00,...
HPB,2006,9,11,11,55,0,2006-09-11T11:55:00Z,2006.694511,992-99,1912.13,2.05,47.8011,11.0245,990,985,5,G,223443,H4,2006-10-12 10:46:00,...
HPB,2006,9,18,11,55,0,2006-09-18T11:55:00Z,2006.713689,1835-99,1939.87,2.05,47.8011,11.0245,990,985,5,G,223440,H4,2006-10-12 11:00:00,...
HPB,2006,9,18,11,55,0,2006-09-18T11:55:00Z,2006.713689,1836-99,1943.11,2.05,47.8011,11.0245,990,985,5,G,223441,H4,2006-10-12 11:14:00,...
HPB,2006,9,27,11,55,0,2006-09-27T11:55:00Z,2006.738347,3529-99,1917.59,2.05,47.8011,11.0245,990,985,5,G,224108,H4,2006-10-30 14:30:00,...
HPB,2006,9,27,11,55,0,2006-09-27T11:55:00Z,2006.738347,3530-99,1921.3,2.05,47.8011,11.0245,990,985,5,G,224109,H4,2006-10-30 14:44:00,...
HPB,2006,10,5,11,54,0,2006-10-05T11:54:00Z,2006.760263,123-99,1864.33,2.05,47.8011,11.0245,990,985,5,G,224106,H4,2006-10-30 14:02:00,...
