site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,value_unc,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
MWO,2010,4,30,17,27,0,2010-04-30T17:27:00Z,2010.328019,3720-01,1898.42,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296240,H6,2010-05-12 2:36:00,CS.
MWO,2010,4,30,17,31,0,2010-04-30T17:31:00Z,2010.328027,3720-02,1903.32,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296241,H6,2010-05-12 2:52:00,.S.
MWO,2010,4,30,17,35,0,2010-04-30T17:35:00Z,2010.328035,3720-03,1888.58,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296242,H6,2010-05-12 3:08:00,.S.
MWO,2010,4,30,17,40,30,2010-04-30T17:40:30Z,2010.328045,3720-04,1882.85,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296243,H6,2010-05-12 3:24:00,.S.
MWO,2010,4,30,23,4,0,2010-04-30T23:04:00Z,2010.328661,3720-05,1891.93,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296244,H6,2010-05-12 3:40:00,...
MWO,2010,5,1,11,4,0,2010-05-01T11:04:00Z,2010.33003,3720-06,1901.36,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296245,H6,2010-05-12 3:56:00,...
MWO,2010,5,1,23,4,0,2010-05-01T23:04:00Z,2010.3314,3720-07,1940.3,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296246,H6,2010-05-12 4:12:00,...
MWO,2010,5,2,11,4,0,2010-05-02T11:04:00Z,2010.33277,3720-08,1911.2,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296247,H6,2010-05-12 4:28:00,...
MWO,2010,5,2,23,4,0,2010-05-02T23:04:00Z,2010.33414,3720-09,1954.35,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296248,H6,2010-05-12 4:43:00,...
MWO,2010,5,3,11,4,0,2010-05-03T11:04:00Z,2010.33551,3720-10,1877.62,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296249,H6,2010-05-12 4:59:00,...
MWO,2010,5,3,23,4,0,2010-05-03T23:04:00Z,2010.33688,3720-11,1931.36,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296250,H6,2010-05-12 5:15:00,...
MWO,2010,5,4,11,4,0,2010-05-04T11:04:00Z,2010.33825,3720-12,7.68,1.4,34.2246,-118.0586,1775.23,1729.33,45.9,C,296251,H6,2010-05-12 5:31:00,C..
MWO,2010,5,4,23,43,16,2010-05-04T23:43:16Z,2010.339694,3718-02,2074.67,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296724,H6,2010-05-19 19:14:00,...
MWO,2010,5,4,23,47,17,2010-05-04T23:47:17Z,2010.339702,3718-01,2077.9,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296723,H6,2010-05-19 18:58:00,...
MWO,2010,5,5,11,3,7,2010-05-05T11:03:07Z,2010.340988,3718-03,1869.81,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296725,H6,2010-05-19 19:29:00,...
MWO,2010,5,5,23,3,8,2010-05-05T23:03:08Z,2010.342358,3718-04,1977.36,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296726,H6,2010-05-19 19:45:00,...
MWO,2010,5,6,11,3,8,2010-05-06T11:03:08Z,2010.343727,3718-05,1888.04,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296727,H6,2010-05-19 20:01:00,...
MWO,2010,5,6,22,3,8,2010-05-06T22:03:08Z,2010.344983,3718-06,2020.26,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296728,H6,2010-05-19 20:17:00,...
MWO,2010,5,7,10,3,8,2010-05-07T10:03:08Z,2010.346353,3718-07,1867.86,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296729,H6,2010-05-19 20:33:00,...
MWO,2010,5,7,22,29,12,2010-05-07T22:29:12Z,2010.347772,3718-08,1933.05,1.31,34.2246,-118.0586,1775.23,1729.33,45.9,C,296730,H6,2010-05-19 20:49:00,...
