site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,value_unc,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
WKT,2006,7,7,22,3,9,2006-07-07T22:03:09Z,2006.514846,3027-01,1878.94,2.05,31.3149,-97.3269,373,251,122,C,219445,H4,2006-07-13 20:38:00,.S.
WKT,2006,7,7,22,19,12,2006-07-07T22:19:12Z,2006.514877,3027-02,1880.52,2.05,31.3149,-97.3269,373,251,122,C,219446,H4,2006-07-13 20:53:00,.S.
WKT,2006,7,7,22,33,12,2006-07-07T22:33:12Z,2006.514903,3027-03,1878.26,2.05,31.3149,-97.3269,373,251,122,C,219447,H4,2006-07-13 21:08:00,.S.
WKT,2006,7,7,22,53,42,2006-07-07T22:53:42Z,2006.514942,3027-04,1878.76,2.05,31.3149,-97.3269,373,251,122,C,219448,H4,2006-07-13 21:23:00,.S.
WKT,2006,7,7,23,9,12,2006-07-07T23:09:12Z,2006.514972,3027-05,1893.07,2.05,31.3149,-97.3269,373,251,122,C,219449,H4,2006-07-13 21:37:00,.S.
WKT,2006,7,8,14,19,7,2006-07-08T14:19:07Z,2006.516703,3027-06,1988.31,2.05,31.3149,-97.3269,373,251,122,C,219450,H4,2006-07-13 21:52:00,.S.
WKT,2006,7,8,14,39,7,2006-07-08T14:39:07Z,2006.516741,3027-07,1986.83,2.05,31.3149,-97.3269,373,251,122,C,219451,H4,2006-07-13 22:07:00,.S.
WKT,2006,7,8,14,54,8,2006-07-08T14:54:08Z,2006.51677,3027-08,1958.07,2.05,31.3149,-97.3269,373,251,122,C,219452,H4,2006-07-13 22:22:00,.S.
WKT,2006,7,8,16,4,10,2006-07-08T16:04:10Z,2006.516903,3027-09,1886.48,2.05,31.3149,-97.3269,373,251,122,C,219453,H4,2006-07-13 22:37:00,.S.
WKT,2006,7,8,16,34,10,2006-07-08T16:34:10Z,2006.51696,3027-10,1874.73,2.05,31.3149,-97.3269,373,251,122,C,219454,H4,2006-07-13 22:52:00,.S.
WKT,2006,7,8,16,54,11,2006-07-08T16:54:11Z,2006.516998,3027-11,1864.01,2.05,31.3149,-97.3269,373,251,122,C,219455,H4,2006-07-13 23:06:00,.S.
WKT,2006,7,8,17,24,11,2006-07-08T17:24:11Z,2006.517055,3027-12,1868.85,2.05,31.3149,-97.3269,373,251,122,C,219456,H4,2006-07-13 23:21:00,.S.
WKT,2006,7,24,21,48,45,2006-07-24T21:48:45Z,2006.561394,3042-01,1859.47,2.05,31.3149,-97.3269,373,251,122,C,220904,H4,2006-08-14 18:58:00,...
