site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
BAO,2007,8,16,15,23,25,2007-08-16T15:23:25Z,2007.623675,3043-01,387.77,40.05,-105.004,1884,1578.7,305.3,C,240563,L3,2007-08-28 16:09:00,.S.
BAO,2007,8,16,18,0,7,2007-08-16T18:00:07Z,2007.623973,3043-02,388.15,40.05,-105.004,1884,1578.7,305.3,C,240564,L3,2007-08-28 16:24:00,.S.
BAO,2007,8,16,18,4,27,2007-08-16T18:04:27Z,2007.623981,3043-03,391.06,40.05,-105.004,1884,1578.7,305.3,C,240565,L3,2007-08-28 16:39:00,.S.
BAO,2007,8,17,17,59,58,2007-08-17T17:59:58Z,2007.626712,3043-04,390.47,40.05,-105.004,1884,1578.7,305.3,C,240566,L3,2007-08-28 16:54:00,.S.
BAO,2007,8,17,18,4,15,2007-08-17T18:04:15Z,2007.62672,3043-05,391.09,40.05,-105.004,1884,1578.7,305.3,C,240567,L3,2007-08-28 17:09:00,.S.
BAO,2007,8,18,17,59,56,2007-08-18T17:59:56Z,2007.629452,3043-06,388.1,40.05,-105.004,1884,1578.7,305.3,C,240568,L3,2007-08-28 17:23:00,.S.
BAO,2007,8,18,18,4,13,2007-08-18T18:04:13Z,2007.62946,3043-07,391.01,40.05,-105.004,1884,1578.7,305.3,C,240569,L3,2007-08-28 17:38:00,.S.
BAO,2007,8,19,17,59,50,2007-08-19T17:59:50Z,2007.632191,3043-08,386.36,40.05,-105.004,1884,1578.7,305.3,C,240570,L3,2007-08-28 17:53:00,.S.
BAO,2007,8,19,18,4,6,2007-08-19T18:04:06Z,2007.6322,3043-09,386.78,40.05,-105.004,1884,1578.7,305.3,C,240571,L3,2007-08-28 18:08:00,.S.
BAO,2007,8,20,17,59,44,2007-08-20T17:59:44Z,2007.634931,3043-10,382.94,40.05,-105.004,1884,1578.7,305.3,C,240572,L3,2007-08-28 18:23:00,.S.
BAO,2007,8,21,17,59,42,2007-08-21T17:59:42Z,2007.637671,3043-11,383.79,40.05,-105.004,1884,1578.7,305.3,C,240573,L3,2007-08-28 18:38:00,.S.
BAO,2007,8,22,17,59,32,2007-08-22T17:59:32Z,2007.64041,3043-12,389.55,40.05,-105.004,1884,1578.7,305.3,C,240574,L3,2007-08-28 18:53:00,.S.
BAO,2007,8,23,18,2,16,2007-08-23T18:02:16Z,2007.643155,3060-01,387.51,40.05,-105.004,1884,1578.7,305.3,C,240808,L3,2007-08-31 17:43:00,CS.
BAO,2007,8,24,18,1,17,2007-08-24T18:01:17Z,2007.645893,3060-02,392.24,40.05,-105.004,1884,1578.7,305.3,C,240809,L3,2007-08-31 17:57:00,.S.
BAO,2007,8,24,18,5,37,2007-08-24T18:05:37Z,2007.645901,3060-03,391.44,40.05,-105.004,1884,1578.7,305.3,C,240810,L3,2007-08-31 18:12:00,.S.
BAO,2007,8,25,18,1,12,2007-08-25T18:01:12Z,2007.648632,3060-04,394.89,40.05,-105.004,1884,1578.7,305.3,C,240811,L3,2007-08-31 18:27:00,.S.
BAO,2007,8,25,18,5,32,2007-08-25T18:05:32Z,2007.648641,3060-05,395.05,40.05,-105.004,1884,1578.7,305.3,C,240812,L3,2007-08-31 18:42:00,.S.
