site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,value_unc,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
ICE,1992,10,2,16,18,0,1992-10-02T16:18:00Z,1992.753222,6367-66,352.01,0.116,63.3998,-20.2884,123,118,5,P,57955,S1,1992-11-20 11:36:00,...
ICE,1992,10,2,16,18,0,1992-10-02T16:18:00Z,1992.753222,6368-66,351.95,0.116,63.3998,-20.2884,123,118,5,P,57956,S1,1992-11-20 11:38:00,...
ICE,1992,10,8,10,15,0,1992-10-08T10:15:00Z,1992.768926,6687-66,350.37,0.116,63.3998,-20.2884,123,118,5,P,57957,S1,1992-11-20 11:28:00,C..
ICE,1992,10,8,10,15,0,1992-10-08T10:15:00Z,1992.768926,6688-66,351.65,0.116,63.3998,-20.2884,123,118,5,P,57958,S1,1992-11-20 11:30:00,C..
ICE,1992,10,15,10,55,0,1992-10-15T10:55:00Z,1992.788128,6723-66,351.64,0.116,63.3998,-20.2884,123,118,5,P,57959,S1,1992-11-17 10:00:00,...
ICE,1992,10,15,10,55,0,1992-10-15T10:55:00Z,1992.788128,6724-66,351.61,0.116,63.3998,-20.2884,123,118,5,P,57960,S1,1992-11-17 10:02:00,...
ICE,1992,10,21,18,45,0,1992-10-21T18:45:00Z,1992.805413,6013-66,352.64,0.116,63.3998,-20.2884,123,118,5,P,57961,S1,1992-11-20 10:36:00,C..
ICE,1992,10,21,18,45,0,1992-10-21T18:45:00Z,1992.805413,6014-66,354.59,0.116,63.3998,-20.2884,123,118,5,P,57962,S1,1992-11-20 10:38:00,C..
ICE,1992,10,27,21,25,0,1992-10-27T21:25:00Z,1992.82211,6177-66,353.82,0.116,63.3998,-20.2884,123,118,5,P,57963,S1,1992-11-20 10:48:00,...
ICE,1992,10,27,21,25,0,1992-10-27T21:25:00Z,1992.82211,6178-66,354.3,0.116,63.3998,-20.2884,123,118,5,P,57964,S1,1992-11-20 10:50:00,...
ICE,1992,11,3,15,20,0,1992-11-03T15:20:00Z,1992.840543,6263-66,351.93,0.116,63.3998,-20.2884,123,118,5,P,57965,S1,1992-11-27 8:20:00,C..
ICE,1992,11,3,15,20,0,1992-11-03T15:20:00Z,1992.840543,6264-66,355.85,0.116,63.3998,-20.2884,123,118,5,P,57966,S1,1992-11-27 8:22:00,C..
ICE,1992,11,10,13,59,0,1992-11-10T13:59:00Z,1992.859515,6417-66,356.36,0.116,63.3998,-20.2884,123,118,5,P,57967,S1,1992-11-27 8:24:00,...
ICE,1992,11,10,13,59,0,1992-11-10T13:59:00Z,1992.859515,6418-66,356.51,0.116,63.3998,-20.2884,123,118,5,P,57968,S1,1992-11-27 8:26:00,...
ICE,1992,11,18,11,12,0,1992-11-18T11:12:00Z,1992.881056,6171-66,346.88,0.116,63.3998,-20.2884,123,118,5,P,57969,S1,1992-12-23 10:52:00,C..
ICE,1992,11,18,11,12,0,1992-11-18T11:12:00Z,1992.881056,6172-66,357.53,0.116,63.3998,-20.2884,123,118,5,P,57970,S1,1992-12-23 10:54:00,C..
ICE,1992,11,24,14,47,0,1992-11-24T14:47:00Z,1992.897858,6677-66,358.23,0.116,63.3998,-20.2884,123,118,5,P,57971,S1,1992-12-23 10:56:00,...
ICE,1992,11,24,14,47,0,1992-11-24T14:47:00Z,1992.897858,6678-66,358.59,0.116,63.3998,-20.2884,123,118,5,P,57972,S1,1992-12-23 10:58:00,...
ICE,1992,12,2,14,30,0,1992-12-02T14:30:00Z,1992.919684,6881-66,358.04,0.116,63.3998,-20.2884,123,118,5,P,57973,S1,1993-01-13 10:28:00,C..
