site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,value_unc,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
MWO,2010,4,30,17,27,0,2010-04-30T17:27:00Z,2010.328019,3720-01,405.56,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296240,L10,2010-05-12 2:40:00,CS.
MWO,2010,4,30,17,31,0,2010-04-30T17:31:00Z,2010.328027,3720-02,394.51,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296241,L10,2010-05-12 2:56:00,.S.
MWO,2010,4,30,17,35,0,2010-04-30T17:35:00Z,2010.328035,3720-03,394.54,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296242,L10,2010-05-12 3:12:00,.S.
MWO,2010,4,30,17,40,30,2010-04-30T17:40:30Z,2010.328045,3720-04,394.63,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296243,L10,2010-05-12 3:28:00,.S.
MWO,2010,4,30,23,4,0,2010-04-30T23:04:00Z,2010.328661,3720-05,394.38,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296244,L10,2010-05-12 3:44:00,...
MWO,2010,5,1,11,4,0,2010-05-01T11:04:00Z,2010.33003,3720-06,394.02,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296245,L10,2010-05-12 4:00:00,...
MWO,2010,5,1,23,4,0,2010-05-01T23:04:00Z,2010.3314,3720-07,399.07,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296246,L10,2010-05-12 4:16:00,...
MWO,2010,5,2,11,4,0,2010-05-02T11:04:00Z,2010.33277,3720-08,394.11,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296247,L10,2010-05-12 4:32:00,...
MWO,2010,5,2,23,4,0,2010-05-02T23:04:00Z,2010.33414,3720-09,397.92,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296248,L10,2010-05-12 4:47:00,...
MWO,2010,5,3,11,4,0,2010-05-03T11:04:00Z,2010.33551,3720-10,393.85,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296249,L10,2010-05-12 5:03:00,...
MWO,2010,5,3,23,4,0,2010-05-03T23:04:00Z,2010.33688,3720-11,402.01,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296250,L10,2010-05-12 5:19:00,...
MWO,2010,5,4,11,4,0,2010-05-04T11:04:00Z,2010.33825,3720-12,397.03,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296251,L10,2010-05-12 5:35:00,C..
MWO,2010,5,4,23,43,16,2010-05-04T23:43:16Z,2010.339694,3718-02,421.15,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296724,L10,2010-05-19 19:18:00,...
MWO,2010,5,4,23,47,17,2010-05-04T23:47:17Z,2010.339702,3718-01,423.04,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296723,L10,2010-05-19 19:02:00,...
MWO,2010,5,5,11,3,7,2010-05-05T11:03:07Z,2010.340988,3718-03,393.75,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296725,L10,2010-05-19 19:33:00,...
MWO,2010,5,5,23,3,8,2010-05-05T23:03:08Z,2010.342358,3718-04,411.43,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296726,L10,2010-05-19 19:49:00,...
MWO,2010,5,6,11,3,8,2010-05-06T11:03:08Z,2010.343727,3718-05,394.97,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296727,L10,2010-05-19 20:05:00,...
MWO,2010,5,6,22,3,8,2010-05-06T22:03:08Z,2010.344983,3718-06,408.42,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296728,L10,2010-05-19 20:21:00,...
MWO,2010,5,7,10,3,8,2010-05-07T10:03:08Z,2010.346353,3718-07,394.02,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296729,L10,2010-05-19 20:37:00,...
MWO,2010,5,7,22,29,12,2010-05-07T22:29:12Z,2010.347772,3718-08,403.29,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296730,L10,2010-05-19 20:53:00,...
MWO,2010,5,8,10,3,5,2010-05-08T10:03:05Z,2010.349093,3718-09,396.34,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296731,L10,2010-05-19 21:09:00,...
MWO,2010,5,8,22,3,5,2010-05-08T22:03:05Z,2010.350462,3718-10,415.48,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296732,L10,2010-05-19 21:25:00,...
MWO,2010,5,9,10,3,4,2010-05-09T10:03:04Z,2010.351832,3718-11,395.32,-999.999,34.2246,-118.0586,1775.23,1729.33,45.9,C,296733,L10,2010-05-19 21:40:00,...
