Date,Total Monthly Precipitation,Average Monthly Temperature,CO2 Concentration,CH4 Concentration,N2O Concentration,SF6 Concentration,Latitude,Longitude
2007-08-31,49,296.09,390.1614286,1918.388571,321.9342857,6.501428571,40.05,-105.004
2007-09-30,48.9,291.01,388.3508333,1890.604167,321.6408333,6.510833333,40.05,-105.004
2007-10-31,35,285.89,389.5174,1906.882917,321.6874,6.6046,40.05,-105.004
2007-11-30,12,280.15,388.5464286,1902.804286,321.5307143,6.569285714,40.05,-105.004
2007-12-31,53.4,271.93,392.1976744,1922.660698,321.712093,6.630465116,40.05,-105.004
2008-01-31,11.9,272.79,391.631,1884.047143,322.0543137,6.637058824,40.05,-105.004
2008-02-29,16,275.28,394.9007843,1908.786531,322.2394118,6.764509804,40.05,-105.004
2008-03-31,37.2,277.96,393.3883019,1893.742264,322.1660377,6.661886792,40.05,-105.004
2008-04-30,28.6,281.78,393.05,1888.05069,321.6475862,6.711034483,40.05,-105.004
2008-05-31,107,286.91,392.0242105,1882.787778,322.2821053,6.979473684,40.05,-105.004
2008-06-30,40.1,291.9,388.0222,1871.174,322.2056,6.7394,40.05,-105.004
2008-07-31,2.4,296.9,388.5897333,1859.786,322.4978667,6.715866667,40.05,-105.004
2008-08-31,75.7,293.9,387.8748148,1865.247037,322.6181481,6.762307692,40.05,-105.004
2008-09-30,46.9,289.05,385.5580851,1909.214894,322.516383,6.94787234,40.05,-105.004
2008-10-31,29.9,284,389.3511321,1910.912453,322.4418868,6.862641509,40.05,-105.004
2008-11-30,3.3,280.8,391.5860377,1906.460755,322.3779245,6.928679245,40.05,-105.004
2008-12-31,33.8,272.5,391.8513462,1896.879423,322.3663462,6.883846154,40.05,-105.004
2009-01-31,15.9,276.42,395.6872093,1934.5085,322.8306977,6.934651163,40.05,-105.004
2009-02-28,6.8,277.26,395.0237209,1918.142791,322.935814,7.003488372,40.05,-105.004
2009-03-31,47.9,279.79,396.55,1934.442895,323.284,6.97325,40.05,-105.004
2009-04-30,149.7,281.5,394.96,1897.539615,323.2692308,7.143653846,40.05,-105.004
2009-05-31,68.6,290.18,392.5484314,1896.735686,323.2596078,7.043333333,40.05,-105.004
2009-06-30,68.6,290.18,389.5321277,1877.828723,323.2917021,6.98787234,40.05,-105.004
2009-07-31,36.2,293.85,388.5397436,1909.065641,323.4794872,7.00974359,40.05,-105.004
2009-08-31,8.4,293.82,384.2621951,1880.386341,322.8904878,7.03,40.05,-105.004
2009-09-30,10.8,290.28,386.4835897,1909.298205,323.3479487,7.093846154,40.05,-105.004
2009-10-31,83,279.93,389.6232353,1920.000588,323.1597059,7.091470588,40.05,-105.004
2009-11-30,23.6,279.54,394.2025714,1897.421143,323.7681081,7.102702703,40.05,-105.004
2009-12-31,35.4,270.04,395.79375,1906.001316,323.43,7.14175,40.05,-105.004
2010-01-31,7.1,273.56,396.8908333,1914.83,323.6958333,7.213055556,40.05,-105.004
2010-02-28,34.7,272.01,400.0384848,1949.34375,324.0451515,7.291212121,40.05,-105.004
2010-03-31,83.9,278.93,396.0378,1905.902549,323.2742,7.436078431,40.05,-105.004
2010-04-30,92.3,282.31,396.2241463,1905.773902,323.5541463,7.273902439,40.05,-105.004
2010-05-31,68.9,285.17,393.52025,1912.154,323.96,7.33375,40.05,-105.004
2010-06-30,85.4,292.4,392.4158537,1900.502683,323.9058537,7.297804878,40.05,-105.004
2010-07-31,58.9,295.47,391.8084091,1889.906591,324.0461364,7.298863636,40.05,-105.004
2010-08-31,27.2,295.46,393.1140625,1914.339688,324.1073438,7.3121875,40.05,-105.004
2010-09-30,6.4,292.2,389.1853846,1891.751026,323.6966667,7.334615385,40.05,-105.004
2010-10-31,24.1,285.73,392.4,1896.557857,323.912381,7.372857143,40.05,-105.004
2010-11-30,15.6,277.32,396.0194595,1912.338056,324.1527027,7.406216216,40.05,-105.004
2010-12-31,12.2,275.88,399.935122,1936.71975,324.3631707,7.454878049,40.05,-105.004
2011-01-31,24.5,273.58,398.7613158,1912.183947,324.4668421,7.41,40.05,-105.004
2011-02-28,25.9,272.96,401.6275,1930.572121,324.9838889,7.451111111,40.05,-105.004
2011-03-31,8.3,280.34,398.5445,1904.97425,324.68375,7.5245,40.05,-105.004
2011-04-30,61.4,282.44,397.8269231,1892.256667,324.5125641,7.484358974,40.05,-105.004
2011-05-31,131,285.04,396.717,1894.347,324.734,7.53,40.05,-105.004
2011-06-30,34.4,292.76,393.10125,1869.262083,324.655,7.524166667,40.05,-105.004
2011-07-31,72.9,296.05,395.3178947,1897.274737,325.1636842,7.472105263,40.05,-105.004
2011-08-31,27.6,296.97,393.5609524,1884.334286,325.207381,7.527142857,40.05,-105.004
2011-09-30,65.2,290.4,389.5872973,1911.683243,325.0875676,7.635945946,40.05,-105.004
2011-10-31,41.9,284.61,392.295,1874.72907,324.9979487,7.586410256,40.05,-105.004
2011-11-30,25,278.73,395.8502778,1913.683056,325.1594444,7.668333333,40.05,-105.004
2011-12-31,48.8,273.07,399.3835897,1905.167179,325.0330769,7.696410256,40.05,-105.004
2012-01-31,9.7,276.8,397.80675,1894.319,325.32825,7.675,40.05,-105.004
2012-02-29,49.2,273.12,401.6064103,1932.267692,325.4484615,7.74025641,40.05,-105.004
