Date,Total Monthly Precipitation,Average Monthly Temperature,CO2 Concentration,CH4 Concentration,N2O Concentration,SF6 Concentration,Latitude,Longitude
1999-07-31,75.5,294.49,368.812,1774.13,314.442,4.5,25.67,-80.2
1999-08-31,194.4,294.49,367.717,1845.453,314.863,4.622,25.67,-80.2
1999-09-30,223.1,294.49,370.4225,1855.1475,315.53875,4.535,25.67,-80.2
1999-10-31,310.1,294.49,366.465,1801.97375,315.26625,4.7125,25.67,-80.2
1999-11-30,61.1,294.49,368.825,1832.49,307.415,4.535,25.67,-80.2
1999-12-31,40.7,294.49,369.58,1821.0075,316.825,4.655,25.67,-80.2
2000-02-29,51.4,294.49,377.6883333,1877.575,318.9283333,4.803333333,25.67,-80.2
2000-03-31,49.7,296.62,372.17375,1813.64125,315.84875,4.60625,25.67,-80.2
2000-04-30,127.7,296.86,373.84125,1843.6075,315.95125,4.8475,25.67,-80.2
2000-05-31,101.6,299.41,372.8844444,1820.547778,316.3611111,4.736666667,25.67,-80.2
2000-06-30,124.6,300.36,371.93,1782.9275,315.98375,4.6425,25.67,-80.2
2000-07-31,294.1,301.38,370.5766667,1777.885,316.3116667,4.69,25.67,-80.2
2000-08-31,146.7,301.36,367.2985714,1778.828571,316.3014286,4.732857143,25.67,-80.2
2000-09-30,148,301.3,366.5725,1782.175,316.45875,4.68875,25.67,-80.2
2000-10-31,275.1,298.56,373.64125,1882.0225,317.5925,4.895,25.67,-80.2
2000-11-30,12.7,296.16,371.6275,1838.2625,316.4675,4.885,25.67,-80.2
2000-12-31,114.8,294.05,386.245,1967.965,318.46,5.03,25.67,-80.2
2001-01-31,11,290.12,382.2616667,1937.253333,317.4216667,4.971666667,25.67,-80.2
2001-02-28,1.3,296.42,374.1925,1827.27625,316.45625,4.83875,25.67,-80.2
2001-03-31,99.1,295.5,379.4283333,1860.733333,317.6666667,4.973333333,25.67,-80.2
2001-04-30,78.3,296.99,376.36,1830.291667,316.9416667,4.938333333,25.67,-80.2
2001-05-31,238.3,297.79,376.49375,1881.10625,317.2825,4.905,25.67,-80.2
2001-06-30,219.8,300.7,373.6133333,1778.748333,316.8733333,4.831666667,25.67,-80.2
2001-07-31,236.3,301.11,371.8757143,1776.857143,317.04,4.885714286,25.67,-80.2
2001-08-31,110.3,301.5,369.015,1767.181667,316.9383333,4.855,25.67,-80.2
2001-09-30,534.7,300.38,368.8575,1784.4375,317.3225,4.865,25.67,-80.2
2001-10-31,220.4,296.42,369.2216667,1801.205,317.12,4.926666667,25.67,-80.2
2001-11-30,77.2,296.42,375.0685714,1867.062857,317.6414286,5.235714286,25.67,-80.2
2001-12-31,29.4,296.53,375.91875,1850.685,317.4,5.97,25.67,-80.2
2002-01-31,25.5,296.53,382.5616667,1911.885,318.295,5.103333333,25.67,-80.2
2002-02-28,75.9,296.53,378.8025,1848.595,318.18,5.105,25.67,-80.2
2002-03-31,75.9,296.53,376.344,1816.236,317.64,5.04,25.67,-80.2
2002-04-30,39.4,298.34,378.5414286,1831.884286,317.7042857,5.114285714,25.67,-80.2
2002-05-31,102.9,299.64,385.9475,1877.65,318.82,5.25,25.67,-80.2
2002-06-30,379.4,299.82,377.0966667,1798.01,317.7766667,5.053333333,25.67,-80.2
2002-07-31,196.7,300.54,370.4583333,1776.726667,317.5283333,5.08,25.67,-80.2
2002-08-31,128.4,301.22,369.42625,1795.715,317.30125,5.08625,25.67,-80.2
2002-09-30,152.3,301.04,369.775,1773.26875,317.3725,5.04625,25.67,-80.2
2002-10-31,21.2,299.92,372.6475,1810.94375,317.75375,5.15625,25.67,-80.2
2002-11-30,75.4,296.31,376.3583333,1850.863333,318.34,5.275,25.67,-80.2
2002-12-31,69.5,290.28,376.0183333,1833.341667,317.8733333,5.285,25.67,-80.2
2003-01-31,20.6,290.28,382.675,1945.94,319.1625,5.4625,25.67,-80.2
2003-02-28,19.3,295.11,379.565,1856.481667,318.2033333,5.363333333,25.67,-80.2
2003-03-31,136.8,298.39,378.343,1818.772,318.066,5.265,25.67,-80.2
2003-04-30,32.1,296.46,380.4866667,1843.766667,318.43,5.341666667,25.67,-80.2
2003-05-31,180.4,299.68,380.175,1814.44875,317.5225,5.37,25.67,-80.2
2003-06-30,277.1,300.44,377.563125,1804.46875,318.1375,5.356875,25.67,-80.2
2003-07-31,28.1,301.47,376.78125,1777.22,318.13125,5.3525,25.67,-80.2
2003-08-31,249.8,300.97,374.083,1778.042,318.156,5.354,25.67,-80.2
