Date,Total Monthly Precipitation,Average Monthly Temperature,CO2 Concentration,CH4 Concentration,N2O Concentration,SF6 Concentration,Latitude,Longitude
1995-12-31,104.4,296.62,360.593,1768.466667,313.38,3.34,19.53,-155.58
1996-01-31,363.2,295.98,362.6275,1771.7175,311.615,3.39,19.53,-155.58
1996-02-29,300,294.59,362.9975,1771.22375,311.7675,3.465,19.53,-155.58
1996-03-31,423.2,294.94,365.256,1772.026,310.214,3.272,19.53,-155.58
1996-04-30,159.4,296.56,364.63,1755.895,311.005,3.38,19.53,-155.58
1996-05-31,92.8,297.47,365.3955,1754.789,313.4916667,3.516666667,19.53,-155.58
1996-06-30,262.4,297.9,365.31125,1752.61875,313.3966667,3.563333333,19.53,-155.58
1996-07-31,335.8,298.29,363.808125,1748.381429,312.78,3.556666667,19.53,-155.58
1996-08-31,121.4,298.27,361.4252632,1742.478889,313.33,4.65,19.53,-155.58
1996-09-30,178.6,298.25,358.941875,1776.985,313.52,3.64,19.53,-155.58
1996-10-31,281.5,298.14,359.541875,1770.925,313.855,3.6575,19.53,-155.58
1996-11-30,361.1,297.33,360.994,1767.841,313.874,3.618,19.53,-155.58
1996-12-31,175,295.88,362.2785714,1779.385,313.7733333,3.57,19.53,-155.58
1997-01-31,59.3,295.84,363.55,1767.642,314.4775,3.625,19.53,-155.58
1997-02-28,199.1,295.6,364.2846667,1770.314286,314.5642857,3.542,19.53,-155.58
1997-03-31,488.8,295.95,364.9946667,1772.754286,314.6757143,3.64,19.53,-155.58
1997-04-30,153.3,296.32,367.01375,1784.27625,314.1875,3.67375,19.53,-155.58
1997-05-31,273.1,296.86,369.005,1782.507368,314.0547368,3.865789474,19.53,-155.58
1997-06-30,576.3,297.82,368.8475,1785.045,313.4275,3.948,19.53,-155.58
1997-07-31,492.4,298.19,364.1582353,1755.021765,313.5792857,3.905,19.53,-155.58
1997-08-31,120.7,298.54,362.5375,1748.6055,313.3547826,3.994583333,19.53,-155.58
1997-09-30,228,298.38,360.4063636,1779.408182,312.8881818,4.12,19.53,-155.58
1997-10-31,321.1,297.85,361.2555,1781.055,313.3515,4.124,19.53,-155.58
1997-11-30,225.2,296.51,362.866875,1782.46875,313.375625,4.163125,19.53,-155.58
1997-12-31,205.8,295.44,364.1491667,1787.8825,313.6466667,4.138333333,19.53,-155.58
1998-01-31,3.4,295.08,366.269,1771.747895,313.8536842,4.091,19.53,-155.58
1998-02-28,61,295.06,366.19375,1762.940625,313.79,4.126875,19.53,-155.58
1998-03-31,93.4,295.68,367.47375,1776.2925,313.915625,4.200625,19.53,-155.58
1998-04-30,225.4,295.06,368.68,1781.358125,313.846875,4.225,19.53,-155.58
1998-05-31,397.9,295.3,369.5305,1779.287,313.8645,4.2655,19.53,-155.58
1998-06-30,286.4,296.2,368.99375,1784.0725,313.776875,4.3125,19.53,-155.58
1998-07-31,154.5,296.79,368.717,1765.0755,314.01,4.2715,19.53,-155.58
1998-08-31,215.5,297.49,365.010625,1758.38375,314.075,4.2825,19.53,-155.58
1998-09-30,273.3,296.56,364.5075,1771.44875,314.463125,4.346875,19.53,-155.58
1998-10-31,406.8,296.41,364.3347368,1787.942105,314.2021053,4.344736842,19.53,-155.58
1998-11-30,395.4,295.42,365.9028571,1793.841429,314.43,4.350714286,19.53,-155.58
1998-12-31,251.2,294.04,367.898,1806.766,314.266,4.404,19.53,-155.58
1999-01-31,423.6,293.91,368.798125,1794.9375,314.4425,4.370625,19.53,-155.58
1999-02-28,491.4,293.55,368.90375,1787.435,314.386875,4.385625,19.53,-155.58
1999-03-31,308.2,294.38,369.6975,1782.110625,314.455625,4.41625,19.53,-155.58
1999-04-30,407.4,294.72,370.9545,1789.03,314.3915,4.424,19.53,-155.58
1999-05-31,72.2,295.7,371.09125,1774.79625,314.6925,4.391875,19.53,-155.58
1999-06-30,118.5,295.96,370.760625,1770.393125,314.6175,4.409375,19.53,-155.58
1999-07-31,90,296.46,369.60375,1771.0125,314.459375,4.435,19.53,-155.58
1999-08-31,257.8,296.51,366.9386667,1768.57125,314.75,4.455625,19.53,-155.58
1999-09-30,143.8,296.29,364.45125,1792.6875,314.6875,4.485,19.53,-155.58
