Date,Total Monthly Precipitation,Average Monthly Temperature,CO2 Concentration,CH4 Concentration,N2O Concentration,SF6 Concentration,Latitude,Longitude
2006-04-30,160.1,279.58,387.975,1894.41375,321.38875,6.23,47.8011,11.0245
2006-05-31,112.3,284.3,379.527,1860.707,321.031,6.108,47.8011,11.0245
2006-06-30,152.4,288.29,376.4383333,1868.081667,321.5166667,6.136666667,47.8011,11.0245
2006-07-31,29.3,292.88,375.2511111,1879.732222,321.3033333,6.177777778,47.8011,11.0245
2006-08-31,245.3,285.8,369.7825,1893.795,321.0925,6.18625,47.8011,11.0245
2006-09-30,69,288.82,382.22875,1900.15,322.2525,6.4975,47.8011,11.0245
2006-10-31,67.9,285.17,382.07,1899.64,321.764,6.225,47.8011,11.0245
2006-11-30,50.4,279.57,385.1275,1885.02,321.2075,6.26,47.8011,11.0245
2006-12-31,43.3,276.03,389.1275,1882.505,321.29,6.30125,47.8011,11.0245
2007-01-31,60.8,275.38,389.7125,1885.81625,321.39375,6.295,47.8011,11.0245
2007-02-28,52,276.44,390.035,1902.71,321.48125,6.42125,47.8011,11.0245
2007-03-31,48.8,277.26,390.825,1903.63125,321.655,6.38125,47.8011,11.0245
2007-04-30,17.3,284.41,384.34,1899.486,321.544,6.553,47.8011,11.0245
2007-05-31,237.7,285.34,379.585,1885.85375,322.365,6.6275,47.8011,11.0245
2007-06-30,107.9,288.43,380.34,1872.485,322.2025,6.50875,47.8011,11.0245
2007-07-31,211.7,289.06,375.689,1861.743,321.47,6.432,47.8011,11.0245
2007-08-31,206.5,288.12,376.47875,1938.43625,323.205,6.94125,47.8011,11.0245
2007-09-30,162.7,283.88,377.32375,1914.6925,322.075,6.62875,47.8011,11.0245
2007-10-31,42.1,280.2,386.777,1935.918,322.415,7.192,47.8011,11.0245
2007-11-30,72.6,274.23,388.3825,1894.72875,321.79625,6.53375,47.8011,11.0245
2007-12-31,76.9,273.15,391.48,1898.5,322.3166667,6.568333333,47.8011,11.0245
2008-01-31,41.4,275.87,395.677,1907.049,322.727,6.767,47.8011,11.0245
2008-02-29,14.1,276.32,395.44625,1916.19125,322.86125,6.635,47.8011,11.0245
2008-03-31,69.4,274.94,395.591,1917.604,322.606,6.72,47.8011,11.0245
2008-04-30,153.2,278.69,390.40875,1898.42625,322.58875,7.03625,47.8011,11.0245
2008-05-31,94.2,285.85,384.78875,1879.01125,323.08625,6.84375,47.8011,11.0245
2008-06-30,87.9,288.23,380.805,1885.96625,322.61625,7.375,47.8011,11.0245
2008-07-31,170,288.88,379.18,1891.17,322.951,6.803,47.8011,11.0245
2008-08-31,170.9,289.08,373.885,1884.15,322.815,6.93375,47.8011,11.0245
2008-09-30,70.1,283.53,376.007,1918.334,322.41,6.825,47.8011,11.0245
2008-10-31,73.5,281.96,382.4875,1870.27875,322.79875,6.9375,47.8011,11.0245
2008-11-30,51.1,277.22,388.94125,1895.07,322.49875,6.86125,47.8011,11.0245
2008-12-31,44.8,272.86,399.868,1952.291,323.226,7.03,47.8011,11.0245
2009-01-31,24.3,270.46,397.39375,1923.26625,323.45625,6.91625,47.8011,11.0245
2009-02-28,70,271.55,398.11125,1930.925,323.675,6.92875,47.8011,11.0245
2009-03-31,74.6,274.25,394.216,1906.716,323.183,6.981,47.8011,11.0245
