Date,Total Monthly Precipitation,Average Monthly Temperature,CO2 Concentration,CH4 Concentration,N2O Concentration,SF6 Concentration,Latitude,Longitude
2010-04-30,42,289.58,396.724,1893.02,324.032,7.25,34.2246,-118.0586
2010-05-31,1.3,291.59,398.5625,1909.886032,324.041746,7.493174603,34.2246,-118.0586
2010-06-30,0,294.02,394.6403571,1891.893214,323.8828571,7.542678571,34.2246,-118.0586
2010-07-31,0,295.15,391.6654054,1848.692162,323.56,7.311081081,34.2246,-118.0586
2010-08-31,0,296.11,392.6905,1870.29,323.7985,7.46,34.2246,-118.0586
2010-09-30,0,296.34,392.2525926,1872.638889,323.8744444,7.436666667,34.2246,-118.0586
2010-10-31,23.7,293.74,393.0323077,1876.175,323.8446154,7.385769231,34.2246,-118.0586
2010-11-30,13.5,289.25,393.4088889,1876.131111,323.8444444,7.458518519,34.2246,-118.0586
2010-12-31,260,287.5,394.4302174,1860.169574,324.1085366,7.437317073,34.2246,-118.0586
2011-01-31,20,288.24,393.2823333,1863.98871,324.5754839,7.42516129,34.2246,-118.0586
2011-02-28,83.5,286.1,398.1936364,1906.873636,324.5409091,7.468181818,34.2246,-118.0586
2011-03-31,100.7,288.46,397.3830303,1880.434545,324.5348485,7.550606061,34.2246,-118.0586
2011-04-30,0,290.78,399.2044828,1901.428621,324.7424138,7.647931034,34.2246,-118.0586
2011-05-31,11.5,291.23,399.905,1899.312632,324.8102632,7.675526316,34.2246,-118.0586
2011-06-30,0.3,292.31,395.2174359,1882.872308,324.6064103,7.637894737,34.2246,-118.0586
2011-07-31,0,295.28,393.7171053,1863.166579,324.8584211,7.638947368,34.2246,-118.0586
2011-08-31,0,295.35,394.0803125,1881.532188,325.1,7.90125,34.2246,-118.0586
2011-09-30,0,294.42,394.4568571,1875.893143,325.3088571,7.685428571,34.2246,-118.0586
2011-10-31,29.7,292.46,394.4094286,1879.489714,325.1554286,7.636857143,34.2246,-118.0586
2011-11-30,40.2,288.62,402.3553846,1894.249167,325.6976923,7.748717949,34.2246,-118.0586
2011-12-31,25.7,285.6,396.7,1885.556053,325.0168421,7.705526316,34.2246,-118.0586
2012-01-31,33,288.04,395.3106897,1867.786897,325.0806897,7.798965517,34.2246,-118.0586
2012-02-29,4.2,287.2,399.5018519,1901.548889,325.3903704,7.78037037,34.2246,-118.0586
2012-03-31,44.5,287.58,400.8778261,1897.363478,325.2208696,7.856521739,34.2246,-118.0586
2012-04-30,43.4,290,402.4496296,1903.945185,325.6259259,8.036666667,34.2246,-118.0586
2012-05-31,0.3,291.59,400.0647619,1902.150238,325.6907143,7.95047619,34.2246,-118.0586
2012-06-30,0,293,398.8197059,1879.177647,325.2723529,7.900882353,34.2246,-118.0586
2012-07-31,0.3,294.4,398.0714286,1858.114,325.482,7.894571429,34.2246,-118.0586
2012-08-31,0,297.78,396.808,1850.011,325.7845,7.8765,34.2246,-118.0586
2012-09-30,0,297.61,394.2154167,1851.217917,325.5370833,7.858333333,34.2246,-118.0586
2012-10-31,0.6,294.75,396.2315789,1879.338421,325.5736842,7.995789474,34.2246,-118.0586
2012-11-30,26.3,290.41,396.8215,1874.7015,325.841,7.9565,34.2246,-118.0586
2012-12-31,54.8,286.69,397.3,1874.720455,325.5786364,7.989090909,34.2246,-118.0586
2013-01-31,30,286.7,398.49,1887.605,325.855,7.985,34.2246,-118.0586
2013-03-31,13.7,289.64,399.7927778,1878.257222,326.1383333,8.038333333,34.2246,-118.0586
2013-04-30,0,290.74,402.4086842,1902.983158,326.3152632,8.108157895,34.2246,-118.0586
2013-05-31,18.1,293.19,405.3118182,1910.525778,326.6595556,8.248,34.2246,-118.0586
2013-06-30,0,294.27,402.0090698,1873.84186,326.3897674,8.238837209,34.2246,-118.0586
2013-07-31,2.3,295.44,400.2288372,1856.48907,326.5604651,8.154651163,34.2246,-118.0586
2013-08-31,0,295.51,397.4811765,1848.440294,326.4623529,8.158529412,34.2246,-118.0586
2013-09-30,0,296.09,398.1992857,1883.344286,326.6183333,8.243809524,34.2246,-118.0586
2013-10-31,1.5,292.53,401.9069048,1898.974,326.907619,8.332619048,34.2246,-118.0586
