Date,Total Monthly Precipitation,Average Monthly Temperature,CO2 Concentration,CH4 Concentration,N2O Concentration,SF6 Concentration,Latitude,Longitude
2007-10-31,51.1,288.76,385.9728571,1882.666857,321.5617143,6.513142857,37.7553,-122.4528
2007-11-30,24.4,287.05,389.8508,1879.747,321.7804082,6.55755102,37.7553,-122.4528
2007-12-31,80.4,283.43,390.876,1880.762,321.734,6.717,37.7553,-122.4528
2008-01-31,225,282.89,393.1668085,1886.911087,322.2542553,6.72212766,37.7553,-122.4528
2008-02-29,47.5,284.73,391.8680556,1876.829444,322.2188889,6.5875,37.7553,-122.4528
2008-03-31,8.4,285.49,392.2688235,1871.455882,322.2094118,6.710196078,37.7553,-122.4528
2008-04-30,3.6,285.7,391.9395833,1869.953542,321.8622917,6.6275,37.7553,-122.4528
2008-05-31,0.8,287.22,390.1694231,1848.180769,322.2476923,6.646923077,37.7553,-122.4528
2008-06-30,0,288.02,389.1539024,1846.724878,322.235122,6.713414634,37.7553,-122.4528
2008-07-31,0,288.82,380.49,1826.442,321.678,6.704,37.7553,-122.4528
2008-08-31,0.3,289.64,380.8532692,1827.660385,321.9705769,6.704423077,37.7553,-122.4528
2008-09-30,0,290.41,381.4825,1848.1165,321.0274359,6.7655,37.7553,-122.4528
2008-10-31,8.9,290.44,392.2726923,1919.119231,322.8515385,6.950384615,37.7553,-122.4528
2008-11-30,58.6,288.05,393.186383,1895.144681,322.8495745,6.884680851,37.7553,-122.4528
2008-12-31,71.5,283.22,395.6225,1905.818214,322.8332143,6.908214286,37.7553,-122.4528
2009-01-31,23,285.29,394.3414583,1901.276809,323.1480851,6.918297872,37.7553,-122.4528
2009-02-28,201.3,284.61,394.5236957,1904.683913,323.1819565,7.074347826,37.7553,-122.4528
2009-03-31,70.1,285.28,396.2074603,1876.21098,322.9296078,6.925686275,37.7553,-122.4528
2009-04-30,6.2,286.4,393.514902,1872.498039,323.2015686,6.929803922,37.7553,-122.4528
2009-05-31,20.3,287.26,391.472381,1854.868095,322.9816667,6.946428571,37.7553,-122.4528
2009-06-30,0,288.81,389.1135714,1843.090714,322.7435714,6.956904762,37.7553,-122.4528
2009-07-31,0,288.1,384.9542857,1831.515952,322.6647619,6.984761905,37.7553,-122.4528
2009-08-31,0,289.98,381.4427027,1833.227297,322.5264865,6.974054054,37.7553,-122.4528
2009-09-30,7.1,290.46,384.8481579,1855.729211,322.7194737,7.028947368,37.7553,-122.4528
2009-10-31,79,289.16,387.264,1867.547955,323.1275,7.051136364,37.7553,-122.4528
2009-11-30,11.6,287.07,394.3029787,1900.508298,323.6514894,7.145957447,37.7553,-122.4528
2009-12-31,70.4,283.15,399.033,1923.829333,323.8813333,7.381666667,37.7553,-122.4528
2010-01-31,169.2,283.95,394.9038095,1898.987619,323.5871429,7.265238095,37.7553,-122.4528
2010-02-28,86.8,285.49,395.6142553,1894.439787,323.6782979,7.316808511,37.7553,-122.4528
2010-03-31,71,285.88,394.6861818,1891.929636,323.6383636,7.280181818,37.7553,-122.4528
2010-04-30,91.2,285.76,395.4874419,1887.287674,323.7648837,7.248837209,37.7553,-122.4528
2010-05-31,24.1,286.39,393.1482857,1864.267714,323.7785714,7.262571429,37.7553,-122.4528
2010-06-30,1.9,288.19,391.8884314,1847.006471,323.6437255,7.257843137,37.7553,-122.4528
2010-07-31,0,287.66,385.7564815,1838.129444,323.5772222,7.288888889,37.7553,-122.4528
2010-08-31,0.3,288.17,383.7611765,1844.493922,323.4823529,7.300392157,37.7553,-122.4528
2010-09-30,0.5,290.32,387.2540816,1861.688571,323.4836735,7.337755102,37.7553,-122.4528
2010-10-31,45.9,288.89,391.4674074,1873.357963,323.6864815,7.457407407,37.7553,-122.4528
2010-11-30,78.8,286.4,396.0382,1884.234,323.9884,7.4158,37.7553,-122.4528
2010-12-31,170.5,284.7,395.6503226,1881.388923,324.4020755,7.529622642,37.7553,-122.4528
2011-01-31,39.4,283.95,402.1198039,1938.8466,325.0819608,7.522156863,37.7553,-122.4528
2011-02-28,125.5,284.09,398.9457447,1909.569787,324.7748936,7.533617021,37.7553,-122.4528
2011-03-31,178.5,285.43,397.0151282,1875.488718,324.4971795,7.474102564,37.7553,-122.4528
2011-04-30,14.3,285.91,398.0025,1880.591923,324.6409615,7.493269231,37.7553,-122.4528
2011-05-31,28.7,286.15,398.1564706,1872.711569,324.6790196,7.541176471,37.7553,-122.4528
2011-06-30,51.3,287.85,398.4768519,1858.103774,324.6484906,7.564259259,37.7553,-122.4528
2011-07-31,2.1,288.61,389.5960784,1835.214118,324.4152941,7.528823529,37.7553,-122.4528
2011-08-31,0.8,288.47,386.4313725,1837.371373,324.7001961,7.530980392,37.7553,-122.4528
2011-09-30,0,289.91,388.1391304,1865.564565,324.9780435,7.620217391,37.7553,-122.4528
2011-10-31,35.1,290.4,396.3077083,1887.193125,325.2989583,7.620851064,37.7553,-122.4528
2011-11-30,44.1,285.57,399.2132692,1913.866346,325.4640385,7.815192308,37.7553,-122.4528
2011-12-31,3.5,284.27,401.6731915,1944.503542,325.6591667,7.808333333,37.7553,-122.4528
