Date,Total Monthly Precipitation,Average Monthly Temperature,CO2 Concentration,CH4 Concentration,N2O Concentration,SF6 Concentration,Latitude,Longitude
2011-03-31,28.5,293.57,398.4966667,1921.618718,325.144359,7.485641026,31.3149,-97.3269
2011-04-30,28.5,293.57,395.4984211,1886.517368,324.8171053,7.481315789,31.3149,-97.3269
2011-05-31,28.5,293.57,395.8865217,1900.809565,324.8465217,7.493043478,31.3149,-97.3269
2011-06-30,28.5,293.57,394.327619,1838.280476,324.7933333,7.42047619,31.3149,-97.3269
2011-07-31,28.5,293.57,393.521,1826.7345,324.7185,7.416,31.3149,-97.3269
2011-08-31,28.5,293.57,392.4026316,1849.773158,324.8515789,7.483157895,31.3149,-97.3269
2011-09-30,28.5,293.57,390.4084211,1926.092105,325.2915789,7.596315789,31.3149,-97.3269
2011-10-31,28.5,293.57,394.4641176,1915.194118,325.5129412,7.604117647,31.3149,-97.3269
2011-11-30,16.3,287.83,396.0323529,1925.378824,325.4164706,7.680588235,31.3149,-97.3269
2011-12-31,94.5,282.38,399.25,1956.69,325.2055556,7.732222222,31.3149,-97.3269
2012-01-31,61.5,283.9,398.64,1963.0905,325.7425,7.738,31.3149,-97.3269
2012-02-29,67.7,285.26,399.5230769,1971.492308,325.6092308,7.752307692,31.3149,-97.3269
2012-03-31,109.2,290.61,395.2933333,1904.623889,325.62,7.696111111,31.3149,-97.3269
2012-04-30,8.2,294.45,395.0968421,1937.61,325.8984211,7.786315789,31.3149,-97.3269
2012-05-31,55.7,297.68,392.7272222,1892.581111,326.0772222,7.751111111,31.3149,-97.3269
2012-06-30,12.4,301.27,392.9352381,1879.991905,325.7090476,7.762380952,31.3149,-97.3269
2012-07-31,42.6,302.35,394.9835294,1847.59,325.6152941,7.732941176,31.3149,-97.3269
2012-08-31,9,302.83,393.715,1886.136111,325.5555556,7.846666667,31.3149,-97.3269
2012-09-30,93.7,298.32,394.7322222,1909.078333,325.8138889,7.858333333,31.3149,-97.3269
2012-10-31,9.4,292.79,394.0072222,1911.25,325.7316667,7.911111111,31.3149,-97.3269
2012-11-30,0,288.41,399.3811111,1941.534444,325.9544444,8.026666667,31.3149,-97.3269
2012-12-31,11,284.79,400.9558333,1955.9425,325.8658333,8.149166667,31.3149,-97.3269
2013-01-31,101.9,282.99,403.8645,2006.4375,326.25,8.088,31.3149,-97.3269
2013-02-28,48,285.14,401.1576471,1935.895294,325.7994118,8.051764706,31.3149,-97.3269
2013-03-31,33.3,287.11,401.955,1942.342143,326.4507143,8.096428571,31.3149,-97.3269
2013-04-30,14.8,295.27,399.837,1963.061,326.3885,8.0615,31.3149,-97.3269
2013-05-31,89,295.27,398.073,1898.1615,326.605,8.0575,31.3149,-97.3269
2013-06-30,19.3,301.13,395.7868421,1878.702632,326.7168421,8.084210526,31.3149,-97.3269
2013-07-31,93.7,302.16,394.7206667,1882.150667,326.5786667,8.118666667,31.3149,-97.3269
2013-08-31,25.5,302.16,395.74,1875.33,326.6805882,8.095882353,31.3149,-97.3269
2013-09-30,67.5,300.05,396.5931579,1915.994737,326.9363158,8.173157895,31.3149,-97.3269
2013-10-31,135.2,292.99,395.059,1900.847,326.741,8.214,31.3149,-97.3269
2013-11-30,44.4,285.01,400.7917391,1956.333478,326.9978261,8.302608696,31.3149,-97.3269
2013-12-31,27,280.05,403.1735,1972.5935,327.044,8.3385,31.3149,-97.3269
2014-01-31,4.2,280.8,402.6855556,1948.286667,326.885,8.327777778,31.3149,-97.3269
2014-02-28,21.5,282.31,407.1710526,2008.65,327.66,8.377894737,31.3149,-97.3269
2014-03-31,28,285.66,407.126,1985.487,328.0665,8.428,31.3149,-97.3269
2014-04-30,16.3,292.02,402.3573684,1920.202632,327.4973684,8.386842105,31.3149,-97.3269
2014-05-31,132.3,294.99,399.77,1914.868824,327.5905882,8.39,31.3149,-97.3269
2014-06-30,33.8,299.87,395.8564706,1854.678824,327.6894118,8.319411765,31.3149,-97.3269
2014-07-31,59.7,300.83,397.4182353,1890.035882,328.1311765,8.421176471,31.3149,-97.3269
2014-08-31,3.3,302.25,394.5185,1880.709,327.948,8.4595,31.3149,-97.3269
2014-09-30,43.9,299.46,398.5672222,1925.228889,328.3205556,8.516666667,31.3149,-97.3269
2014-10-31,68.3,294.89,397.20875,1951.28,328.28,8.59375,31.3149,-97.3269
2014-11-30,44.2,284.5,402.878,1955.601,328.203,8.676,31.3149,-97.3269
2014-12-31,8.9,283.86,409.8710526,2019.231053,328.7884211,8.762105263,31.3149,-97.3269
2015-01-31,49.5,280.51,408.5573333,2030.61,328.9213333,8.723333333,31.3149,-97.3269
2015-02-28,7.2,281.72,408.4453846,1995.571538,328.8769231,8.75,31.3149,-97.3269
2015-03-31,31.8,286.92,413.5614286,2017.506154,329.9871429,8.795,31.3149,-97.3269
2015-04-30,60.9,293.11,403.4406667,1939.065333,329.1893333,8.887333333,31.3149,-97.3269
2015-05-31,149.9,295.88,401.800625,1916.12875,328.969375,8.715625,31.3149,-97.3269
2015-06-30,96.3,299.75,401.6833333,1908.995,329.12,8.766666667,31.3149,-97.3269
2015-07-31,0,301.91,405.020625,1875.656875,328.8725,8.71875,31.3149,-97.3269
2015-08-31,15.8,302.66,398.2386667,1910.568667,329.0773333,8.784,31.3149,-97.3269
2015-09-30,319.7,294.76,398.955,1915.238333,329.0008333,8.833333333,31.3149,-97.3269
2015-10-31,319.7,294.76,403.2453333,1966.465333,329.2806667,8.917333333,31.3149,-97.3269
2015-11-30,145.2,287.83,409.5066667,2001.046667,329.5455556,9.014444444,31.3149,-97.3269
2015-12-31,67.6,284.76,407.1072222,1967.844444,329.3622222,8.975555556,31.3149,-97.3269
2016-01-31,11,281.88,413.2906667,2026.882667,329.784,9.068,31.3149,-97.3269
2016-02-29,39.4,285.93,408.9264286,1971.561429,329.825,9.048571429,31.3149,-97.3269
2016-03-31,103.5,289.76,407.97,1959.2525,329.615,9.039375,31.3149,-97.3269
2016-04-30,189.5,292.35,406.6407143,1969.773571,330.1771429,9.088571429,31.3149,-97.3269
2016-05-31,143.9,295.09,406.7346154,1950.945385,330.7084615,9.354615385,31.3149,-97.3269
2016-06-30,129.6,300.32,404.6644444,1918.574444,330.1366667,9.126666667,31.3149,-97.3269
2016-11-30,106.5,290.11,409.8281818,1989.43,329.7818182,9.296363636,31.3149,-97.3269
2016-12-31,38.7,284.01,413.8166667,2023.065333,330.034,9.334666667,31.3149,-97.3269
2017-01-31,69.3,284.6,414.274,2006.228,330.552,9.338,31.3149,-97.3269
2017-02-28,39.4,289.07,406.2426316,1992.84,330.8457143,9.383571429,31.3149,-97.3269
2017-03-31,79.5,291.25,410.5528571,1941.414286,330.3314286,9.376428571,31.3149,-97.3269
2017-04-30,145.3,293.16,407.6123077,1947.763846,330.3984615,9.473846154,31.3149,-97.3269
2017-05-31,51,295.94,412.0926667,1946.123333,330.73,9.480666667,31.3149,-97.3269
2017-06-30,12.2,300.5,406.038125,1910.13625,330.64625,9.470625,31.3149,-97.3269
2017-07-31,16.5,303.1,406.6114286,1884.165,330.2378571,9.445,31.3149,-97.3269
