Date,Total Monthly Precipitation,Average Monthly Temperature,CO2 Concentration,CH4 Concentration,N2O Concentration,SF6 Concentration,Latitude,Longitude
1997-07-31,116.4,283.55,359.2925,1811.5075,313.17,4.215,63.3998,-20.2884
1997-08-31,115.8,283.5,355.01375,1817.57875,313.21625,4.1975,63.3998,-20.2884
1997-09-30,134.6,280.93,356.7525,1834.90125,313.33125,4.28875,63.3998,-20.2884
1997-10-31,137.7,279,361.16,1830.523,313.362,4.3,63.3998,-20.2884
1997-11-30,152.9,277.99,366.71,1846.2525,313.6625,4.29,63.3998,-20.2884
1997-12-31,170,277.13,367.8766667,1840.37,313.9477778,4.315555556,63.3998,-20.2884
1998-01-31,53.1,275.53,370.002,1853.07,314.096,4.356,63.3998,-20.2884
1998-02-28,135.1,274.05,371.64,1852.62,314.28,4.44,63.3998,-20.2884
1998-03-31,88.9,273.45,369.71,1842.563333,314.15,4.348333333,63.3998,-20.2884
1998-04-30,50.2,277.11,371.09,1849.203333,314.38,4.425,63.3998,-20.2884
1998-05-31,91.5,279.63,369.92,1831.105,314.375,4.4,63.3998,-20.2884
1998-07-31,59.5,283.92,369.865,1846.8125,314.1,5.6975,63.3998,-20.2884
1998-08-31,257.9,283.67,356.37,1831.65,313.53,4.425,63.3998,-20.2884
1998-09-30,62.7,281.47,359.655,1880.86,313.395,4.51,63.3998,-20.2884
1998-10-31,88.3,276.6,360.3725,1856.28,313.7975,4.41,63.3998,-20.2884
1998-11-30,231.1,276.42,369.285,1851.51,314.475,4.44,63.3998,-20.2884
1998-12-31,261.5,276.06,370.2225,1849.1225,314.33,4.585,63.3998,-20.2884
1999-01-31,207.4,274.86,373.3016667,1872.1,314.6883333,4.548333333,63.3998,-20.2884
1999-02-28,129.6,273.36,372.915,1859.8925,314.68,4.505,63.3998,-20.2884
1999-03-31,51.9,273.82,373.656,1865.989,314.901,4.56,63.3998,-20.2884
1999-04-30,82.9,276.36,374.6175,1865.6925,315.0825,4.57375,63.3998,-20.2884
1999-05-31,93.8,279.6,372.557,1849.404,314.584,4.541,63.3998,-20.2884
1999-06-30,140.8,281.25,370.45375,1838.445,314.415,4.555,63.3998,-20.2884
1999-07-31,92.5,282.6,363.69375,1824.28375,314.0975,4.555,63.3998,-20.2884
1999-08-31,95.1,283.53,359.131,1827.93,314.052,4.564,63.3998,-20.2884
1999-09-30,130.5,281.23,360.74625,1842.4725,314.92375,4.57625,63.3998,-20.2884
1999-10-31,164.7,278.97,361.13875,1844.75875,315.24,4.615,63.3998,-20.2884
1999-11-30,121.9,275.95,369.341,1850.762,315.831,4.622,63.3998,-20.2884
