site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,value_unc,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
BAO,2007,8,16,15,23,25,2007-08-16T15:23:25Z,2007.623675,3043-01,320.87,0.26,40.05,-105.004,1884,1578.7,305.3,C,240563,H4,2007-08-28 16:08:00,.S.
BAO,2007,8,16,18,0,7,2007-08-16T18:00:07Z,2007.623973,3043-02,321.42,0.26,40.05,-105.004,1884,1578.7,305.3,C,240564,H4,2007-08-28 16:23:00,.S.
BAO,2007,8,16,18,4,27,2007-08-16T18:04:27Z,2007.623981,3043-03,321.38,0.26,40.05,-105.004,1884,1578.7,305.3,C,240565,H4,2007-08-28 16:37:00,.S.
BAO,2007,8,17,17,59,58,2007-08-17T17:59:58Z,2007.626712,3043-04,322.16,0.26,40.05,-105.004,1884,1578.7,305.3,C,240566,H4,2007-08-28 16:52:00,.S.
BAO,2007,8,17,18,4,15,2007-08-17T18:04:15Z,2007.62672,3043-05,322.63,0.26,40.05,-105.004,1884,1578.7,305.3,C,240567,H4,2007-08-28 17:07:00,.S.
BAO,2007,8,18,17,59,56,2007-08-18T17:59:56Z,2007.629452,3043-06,321.69,0.26,40.05,-105.004,1884,1578.7,305.3,C,240568,H4,2007-08-28 17:22:00,.S.
BAO,2007,8,18,18,4,13,2007-08-18T18:04:13Z,2007.62946,3043-07,322.26,0.26,40.05,-105.004,1884,1578.7,305.3,C,240569,H4,2007-08-28 17:37:00,.S.
BAO,2007,8,19,17,59,50,2007-08-19T17:59:50Z,2007.632191,3043-08,321.37,0.26,40.05,-105.004,1884,1578.7,305.3,C,240570,H4,2007-08-28 17:52:00,.S.
BAO,2007,8,19,18,4,6,2007-08-19T18:04:06Z,2007.6322,3043-09,320.81,0.26,40.05,-105.004,1884,1578.7,305.3,C,240571,H4,2007-08-28 18:07:00,.S.
BAO,2007,8,20,17,59,44,2007-08-20T17:59:44Z,2007.634931,3043-10,320.78,0.26,40.05,-105.004,1884,1578.7,305.3,C,240572,H4,2007-08-28 18:22:00,.S.
BAO,2007,8,21,17,59,42,2007-08-21T17:59:42Z,2007.637671,3043-11,321.07,0.26,40.05,-105.004,1884,1578.7,305.3,C,240573,H4,2007-08-28 18:36:00,.S.
BAO,2007,8,22,17,59,32,2007-08-22T17:59:32Z,2007.64041,3043-12,321.3,0.26,40.05,-105.004,1884,1578.7,305.3,C,240574,H4,2007-08-28 18:51:00,.S.
BAO,2007,8,23,18,2,16,2007-08-23T18:02:16Z,2007.643155,3060-01,321.98,0.26,40.05,-105.004,1884,1578.7,305.3,C,240808,H4,2007-08-31 17:41:00,.S.
BAO,2007,8,24,18,1,17,2007-08-24T18:01:17Z,2007.645893,3060-02,322.98,0.26,40.05,-105.004,1884,1578.7,305.3,C,240809,H4,2007-08-31 17:56:00,.S.
