site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,value_unc,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
STR,2007,10,2,22,3,36,2007-10-02T22:03:36Z,2007.753203,3055-01,320.62,0.26,37.7553,-122.4528,370,254,116,C,243365,H4,2007-10-16 18:42:00,...
STR,2007,10,2,22,7,46,2007-10-02T22:07:46Z,2007.753211,3055-02,320.85,0.26,37.7553,-122.4528,486,254,232,C,243366,H4,2007-10-16 18:57:00,...
STR,2007,10,3,22,3,38,2007-10-03T22:03:38Z,2007.755943,3055-04,320.73,0.26,37.7553,-122.4528,370,254,116,C,243368,H4,2007-10-16 19:27:00,...
STR,2007,10,3,22,7,52,2007-10-03T22:07:52Z,2007.755951,3055-05,321.49,0.26,37.7553,-122.4528,486,254,232,C,243369,H4,2007-10-16 19:41:00,...
STR,2007,10,4,22,3,40,2007-10-04T22:03:40Z,2007.758683,3055-07,321.01,0.26,37.7553,-122.4528,370,254,116,C,243370,H4,2007-10-16 19:56:00,...
STR,2007,10,4,22,7,57,2007-10-04T22:07:57Z,2007.758691,3055-08,320.99,0.26,37.7553,-122.4528,486,254,232,C,243371,H4,2007-10-16 20:11:00,...
STR,2007,10,5,22,3,46,2007-10-05T22:03:46Z,2007.761423,3055-10,321.47,0.26,37.7553,-122.4528,370,254,116,C,243372,H4,2007-10-16 20:26:00,...
STR,2007,10,5,22,8,10,2007-10-05T22:08:10Z,2007.761431,3055-11,321.28,0.26,37.7553,-122.4528,486,254,232,C,243373,H4,2007-10-16 20:41:00,...
STR,2007,10,6,22,3,43,2007-10-06T22:03:43Z,2007.764162,3055-12,320.89,0.26,37.7553,-122.4528,370,254,116,C,243374,H4,2007-10-16 20:55:00,...
STR,2007,10,8,1,25,17,2007-10-08T01:25:17Z,2007.767286,3055-03,320.84,0.26,37.7553,-122.4528,486,254,232,C,243367,H4,2007-10-16 19:12:00,.S.
STR,2007,10,16,20,47,19,2007-10-16T20:47:19Z,2007.791414,3085-01,321.29,0.26,37.7553,-122.4528,486,254,232,C,243908,H4,2007-10-30 1:47:00,.S.
STR,2007,10,17,10,4,3,2007-10-17T10:04:03Z,2007.79293,3085-02,320.78,0.26,37.7553,-122.4528,486,254,232,C,243909,H4,2007-10-30 2:01:00,...
STR,2007,10,17,22,3,56,2007-10-17T22:03:56Z,2007.7943,3085-03,321.63,0.26,37.7553,-122.4528,486,254,232,C,243910,H4,2007-10-30 2:16:00,...
STR,2007,10,18,10,4,4,2007-10-18T10:04:04Z,2007.79567,3085-04,321.83,0.26,37.7553,-122.4528,486,254,232,C,243911,H4,2007-10-30 2:31:00,...
STR,2007,10,18,22,3,51,2007-10-18T22:03:51Z,2007.797039,3085-05,321.72,0.26,37.7553,-122.4528,486,254,232,C,243912,H4,2007-10-30 2:46:00,...
STR,2007,10,19,10,3,56,2007-10-19T10:03:56Z,2007.798409,3085-06,321.48,0.26,37.7553,-122.4528,486,254,232,C,243913,H4,2007-10-30 3:01:00,...
STR,2007,10,19,22,3,50,2007-10-19T22:03:50Z,2007.799779,3085-07,321.22,0.26,37.7553,-122.4528,486,254,232,C,243914,H4,2007-10-30 3:15:00,...
STR,2007,10,20,10,3,50,2007-10-20T10:03:50Z,2007.801149,3085-08,320.91,0.26,37.7553,-122.4528,486,254,232,C,243915,H4,2007-10-30 3:30:00,...
STR,2007,10,20,22,3,46,2007-10-20T22:03:46Z,2007.802519,3085-09,321.3,0.26,37.7553,-122.4528,486,254,232,C,243916,H4,2007-10-30 3:45:00,...
STR,2007,10,21,10,3,45,2007-10-21T10:03:45Z,2007.803888,3085-10,321.21,0.26,37.7553,-122.4528,486,254,232,C,243917,H4,2007-10-30 4:00:00,...
STR,2007,10,21,22,3,43,2007-10-21T22:03:43Z,2007.805258,3085-11,321.53,0.26,37.7553,-122.4528,486,254,232,C,243918,H4,2007-10-30 4:15:00,...
STR,2007,10,22,10,3,45,2007-10-22T10:03:45Z,2007.806628,3085-12,-999.99,-999.999,37.7553,-122.4528,486,254,232,C,243919,H4,2007-10-30 4:26:00,C..
STR,2007,10,23,22,4,5,2007-10-23T22:04:05Z,2007.810738,3103-01,322.21,0.26,37.7553,-122.4528,486,254,232,C,244475,H4,2007-11-03 7:46:00,...
STR,2007,10,24,10,4,2,2007-10-24T10:04:02Z,2007.812108,3103-02,321.67,0.26,37.7553,-122.4528,486,254,232,C,244476,H4,2007-11-03 8:01:00,...
STR,2007,10,24,22,4,3,2007-10-24T22:04:03Z,2007.813478,3103-03,322.23,0.26,37.7553,-122.4528,486,254,232,C,244477,H4,2007-11-03 8:16:00,...
STR,2007,10,25,10,4,3,2007-10-25T10:04:03Z,2007.814848,3103-04,321.19,0.26,37.7553,-122.4528,486,254,232,C,244478,H4,2007-11-03 8:31:00,...
STR,2007,10,25,22,4,3,2007-10-25T22:04:03Z,2007.816218,3103-05,321.77,0.26,37.7553,-122.4528,486,254,232,C,244479,H4,2007-11-03 8:45:00,...
STR,2007,10,26,22,4,0,2007-10-26T22:04:00Z,2007.818957,3103-07,321.8,0.26,37.7553,-122.4528,486,254,232,C,244480,H4,2007-11-03 9:00:00,...
STR,2007,10,27,10,3,58,2007-10-27T10:03:58Z,2007.820327,3103-08,322.15,0.26,37.7553,-122.4528,486,254,232,C,244481,H4,2007-11-03 9:15:00,...
STR,2007,10,27,22,3,54,2007-10-27T22:03:54Z,2007.821697,3103-09,322.1,0.26,37.7553,-122.4528,486,254,232,C,244482,H4,2007-11-03 9:30:00,...
STR,2007,10,28,10,3,52,2007-10-28T10:03:52Z,2007.823067,3103-10,323.2,0.26,37.7553,-122.4528,486,254,232,C,244483,H4,2007-11-03 9:45:00,C..
STR,2007,10,28,22,3,51,2007-10-28T22:03:51Z,2007.824437,3103-11,323.05,0.26,37.7553,-122.4528,486,254,232,C,244484,H4,2007-11-03 9:59:00,...
STR,2007,10,29,10,3,52,2007-10-29T10:03:52Z,2007.825806,3103-12,322.56,0.26,37.7553,-122.4528,486,254,232,C,244485,H4,2007-11-03 10:14:00,...
STR,2007,10,30,22,4,24,2007-10-30T22:04:24Z,2007.829917,3095-01,321.57,0.26,37.7553,-122.4528,486,254,232,C,244897,H4,2007-11-13 23:55:00,...
STR,2007,10,31,10,4,24,2007-10-31T10:04:24Z,2007.831287,3095-02,322.44,0.26,37.7553,-122.4528,486,254,232,C,244898,H4,2007-11-14 0:10:00,...
STR,2007,10,31,22,4,20,2007-10-31T22:04:20Z,2007.832657,3095-03,321.65,0.26,37.7553,-122.4528,486,254,232,C,244899,H4,2007-11-14 0:25:00,...
STR,2007,11,1,10,4,23,2007-11-01T10:04:23Z,2007.834027,3095-04,321.77,0.26,37.7553,-122.4528,486,254,232,C,244900,H4,2007-11-14 0:40:00,...
STR,2007,11,1,22,4,20,2007-11-01T22:04:20Z,2007.835396,3095-05,321.83,0.26,37.7553,-122.4528,486,254,232,C,244901,H4,2007-11-14 0:54:00,...
STR,2007,11,2,10,4,24,2007-11-02T10:04:24Z,2007.836766,3095-06,321.53,0.26,37.7553,-122.4528,486,254,232,C,244902,H4,2007-11-14 1:09:00,...
STR,2007,11,2,22,4,16,2007-11-02T22:04:16Z,2007.838136,3095-07,321.98,0.26,37.7553,-122.4528,486,254,232,C,244903,H4,2007-11-14 1:24:00,...
STR,2007,11,3,10,4,14,2007-11-03T10:04:14Z,2007.839506,3095-08,321.85,0.26,37.7553,-122.4528,486,254,232,C,244904,H4,2007-11-14 1:39:00,...
STR,2007,11,3,22,4,14,2007-11-03T22:04:14Z,2007.840876,3095-09,322.11,0.26,37.7553,-122.4528,486,254,232,C,244905,H4,2007-11-14 1:53:00,...
STR,2007,11,4,10,4,12,2007-11-04T10:04:12Z,2007.842245,3095-10,321.13,0.26,37.7553,-122.4528,486,254,232,C,244906,H4,2007-11-14 2:08:00,...
STR,2007,11,4,22,4,15,2007-11-04T22:04:15Z,2007.843615,3095-11,322.78,0.26,37.7553,-122.4528,486,254,232,C,244907,H4,2007-11-14 2:23:00,...
STR,2007,11,5,10,4,13,2007-11-05T10:04:13Z,2007.844985,3095-12,322.16,0.26,37.7553,-122.4528,486,254,232,C,244908,H4,2007-11-14 2:38:00,...
STR,2007,11,6,22,3,44,2007-11-06T22:03:44Z,2007.849094,3039-01,321.68,0.26,37.7553,-122.4528,486,254,232,C,245251,H4,2007-11-17 1:54:00,...
STR,2007,11,7,10,3,48,2007-11-07T10:03:48Z,2007.850464,3039-02,321.95,0.26,37.7553,-122.4528,486,254,232,C,245252,H4,2007-11-17 2:09:00,...
STR,2007,11,7,22,3,49,2007-11-07T22:03:49Z,2007.851834,3039-03,322.08,0.26,37.7553,-122.4528,486,254,232,C,245253,H4,2007-11-17 2:24:00,...
STR,2007,11,8,10,4,0,2007-11-08T10:04:00Z,2007.853204,3039-04,322.53,0.26,37.7553,-122.4528,486,254,232,C,245254,H4,2007-11-17 2:39:00,...
STR,2007,11,8,22,3,44,2007-11-08T22:03:44Z,2007.854573,3039-05,322.14,0.26,37.7553,-122.4528,486,254,232,C,245255,H4,2007-11-17 2:53:00,...
STR,2007,11,9,10,3,39,2007-11-09T10:03:39Z,2007.855943,3039-06,321.54,0.26,37.7553,-122.4528,486,254,232,C,245256,H4,2007-11-17 3:08:00,...
STR,2007,11,9,22,3,31,2007-11-09T22:03:31Z,2007.857313,3039-07,322.07,0.26,37.7553,-122.4528,486,254,232,C,245257,H4,2007-11-17 3:23:00,...
STR,2007,11,10,10,3,33,2007-11-10T10:03:33Z,2007.858683,3039-08,321.83,0.26,37.7553,-122.4528,486,254,232,C,245258,H4,2007-11-17 3:38:00,...
STR,2007,11,10,22,3,34,2007-11-10T22:03:34Z,2007.860052,3039-09,321.94,0.26,37.7553,-122.4528,486,254,232,C,245259,H4,2007-11-17 3:53:00,...
STR,2007,11,11,10,3,31,2007-11-11T10:03:31Z,2007.861422,3039-10,320.94,0.26,37.7553,-122.4528,486,254,232,C,245260,H4,2007-11-17 4:07:00,...
STR,2007,11,11,22,3,23,2007-11-11T22:03:23Z,2007.862792,3039-11,321.12,0.26,37.7553,-122.4528,486,254,232,C,245261,H4,2007-11-17 4:22:00,...
STR,2007,11,12,10,3,19,2007-11-12T10:03:19Z,2007.864162,3039-12,321.45,0.26,37.7553,-122.4528,486,254,232,C,245262,H4,2007-11-17 4:37:00,...
STR,2007,11,14,10,4,45,2007-11-14T10:04:45Z,2007.869644,3085-01,321.14,0.26,37.7553,-122.4528,486,254,232,C,245587,H4,2007-11-28 2:26:00,...
STR,2007,11,14,22,4,44,2007-11-14T22:04:44Z,2007.871014,3085-02,321.69,0.26,37.7553,-122.4528,486,254,232,C,245588,H4,2007-11-28 2:41:00,...
STR,2007,11,15,10,4,44,2007-11-15T10:04:44Z,2007.872383,3085-03,321.4,0.26,37.7553,-122.4528,486,254,232,C,245589,H4,2007-11-28 2:56:00,...
STR,2007,11,15,22,4,46,2007-11-15T22:04:46Z,2007.873753,3085-04,321.19,0.26,37.7553,-122.4528,486,254,232,C,245590,H4,2007-11-28 3:11:00,...
STR,2007,11,16,10,4,56,2007-11-16T10:04:56Z,2007.875124,3085-05,321.45,0.26,37.7553,-122.4528,486,254,232,C,245591,H4,2007-11-28 3:26:00,...
STR,2007,11,16,22,4,55,2007-11-16T22:04:55Z,2007.876493,3085-06,321.16,0.26,37.7553,-122.4528,486,254,232,C,245592,H4,2007-11-28 3:41:00,...
STR,2007,11,17,10,4,52,2007-11-17T10:04:52Z,2007.877863,3085-07,321.39,0.26,37.7553,-122.4528,486,254,232,C,245593,H4,2007-11-28 3:55:00,...
STR,2007,11,17,22,4,53,2007-11-17T22:04:53Z,2007.879233,3085-08,322.13,0.26,37.7553,-122.4528,486,254,232,C,245594,H4,2007-11-28 4:10:00,...
STR,2007,11,18,10,4,59,2007-11-18T10:04:59Z,2007.880603,3085-09,321.48,0.26,37.7553,-122.4528,486,254,232,C,245595,H4,2007-11-28 4:25:00,...
STR,2007,11,18,22,5,5,2007-11-18T22:05:05Z,2007.881973,3085-10,321.61,0.26,37.7553,-122.4528,486,254,232,C,245596,H4,2007-11-28 4:40:00,...
STR,2007,11,19,10,4,59,2007-11-19T10:04:59Z,2007.883343,3085-11,321.49,0.26,37.7553,-122.4528,486,254,232,C,245597,H4,2007-11-28 4:55:00,...
STR,2007,11,20,22,3,34,2007-11-20T22:03:34Z,2007.88745,3055-01,322.12,0.26,37.7553,-122.4528,486,254,232,C,245799,H4,2007-12-03 20:02:00,...
STR,2007,11,21,10,3,27,2007-11-21T10:03:27Z,2007.888819,3055-02,321.93,0.26,37.7553,-122.4528,486,254,232,C,245800,H4,2007-12-03 20:17:00,...
STR,2007,11,21,22,3,17,2007-11-21T22:03:17Z,2007.890189,3055-03,322.31,0.26,37.7553,-122.4528,486,254,232,C,245801,H4,2007-12-03 20:32:00,...
STR,2007,11,22,10,3,17,2007-11-22T10:03:17Z,2007.891559,3055-04,321.38,0.26,37.7553,-122.4528,486,254,232,C,245802,H4,2007-12-03 20:47:00,...
STR,2007,11,22,22,3,15,2007-11-22T22:03:15Z,2007.892929,3055-05,321.39,0.26,37.7553,-122.4528,486,254,232,C,245803,H4,2007-12-03 21:01:00,...
STR,2007,11,23,10,3,7,2007-11-23T10:03:07Z,2007.894298,3055-06,321.68,0.26,37.7553,-122.4528,486,254,232,C,245804,H4,2007-12-03 21:16:00,...
STR,2007,11,23,22,2,56,2007-11-23T22:02:56Z,2007.895668,3055-07,320.71,0.26,37.7553,-122.4528,486,254,232,C,245805,H4,2007-12-03 21:31:00,...
STR,2007,11,24,10,2,49,2007-11-24T10:02:49Z,2007.897037,3055-08,321.46,0.26,37.7553,-122.4528,486,254,232,C,245806,H4,2007-12-03 21:46:00,...
STR,2007,11,24,22,2,44,2007-11-24T22:02:44Z,2007.898407,3055-09,321.84,0.26,37.7553,-122.4528,486,254,232,C,245807,H4,2007-12-03 22:01:00,...
STR,2007,11,25,10,2,46,2007-11-25T10:02:46Z,2007.899777,3055-10,321.75,0.26,37.7553,-122.4528,486,254,232,C,245808,H4,2007-12-03 22:15:00,...
STR,2007,11,25,22,2,43,2007-11-25T22:02:43Z,2007.901147,3055-11,322.61,0.26,37.7553,-122.4528,486,254,232,C,245809,H4,2007-12-03 22:30:00,...
